#mode steps threads avg_speedup
o 1000 2 0.780711
o 1000 4 0.978803
o 1000 8 1.151647
o 1000 12 1.196188
o 1000 16 1.289424
o 3000 2 0.834449
o 3000 4 1.058347
o 3000 8 1.222113
o 3000 12 1.358604
o 3000 16 1.403691
o 5000 2 0.929573
o 5000 4 1.102027
o 5000 8 1.356718
o 5000 12 1.348101
o 5000 16 1.325607
o 10000 2 0.926067
o 10000 4 1.144537
o 10000 8 1.277025
o 10000 12 1.360657
o 10000 16 1.333543
o 100000 2 0.927233
o 100000 4 1.117422
o 100000 8 1.350413
o 100000 12 1.325460
o 100000 16 1.206961
p 1000 2 0.437639
p 1000 4 0.471183
p 1000 8 0.468864
p 1000 12 0.483205
p 1000 16 0.475349
p 3000 2 0.464103
p 3000 4 0.475868
p 3000 8 0.423510
p 3000 12 0.454128
p 3000 16 0.446325
p 5000 2 0.455595
p 5000 4 0.422359
p 5000 8 0.443940
p 5000 12 0.446476
p 5000 16 0.442160
p 10000 2 0.426269
p 10000 4 0.407665
p 10000 8 0.417800
p 10000 12 0.420513
p 10000 16 0.447071
p 100000 2 0.460593
p 100000 4 0.460737
p 100000 8 0.458839
p 100000 12 0.440432
p 100000 16 0.455469
